899050,-45.73%
930050,-13.30%
930598,-59.24%
930599,-66.95%
930601,-71.63%
930604,-73.25%
930606,-70.61%
930608,-43.35%
930614,-62.36%
930625,-63.51%
930629,-67.49%
930632,-66.21%
930633,-53.17%
930641,-42.37%
930651,-75.53%
930652,-62.10%
930653,-60.40%
930697,-42.54%
930707,-63.56%
930708,-52.23%
930709,-62.69%
930712,-46.49%
930713,-54.61%
930716,-58.36%
930719,-71.59%
930721,-51.21%
930723,-37.98%
930726,-68.60%
930740,-23.91%
930743,-67.62%
930746,-61.21%
930781,-78.22%
930782,-37.10%
930791,-58.84%
930792,-48.72%
930794,-55.83%
930820,-51.78%
930821,-52.90%
930838,-32.37%
930839,-47.34%
930846,-30.32%
930850,-50.88%
930851,-59.60%
930875,-59.40%
930901,-75.11%
930902,-65.13%
930914,-49.12%
930931,-53.72%
930938,-40.02%
930939,-41.09%
930955,-28.63%
930965,-75.07%
930986,-53.03%
930997,-67.51%
931008,-46.17%
931009,-62.82%
931052,-31.89%
931066,-57.36%
931068,-59.40%
931071,-60.23%
931079,-53.32%
931087,-55.15%
931139,-57.58%
931140,-64.44%
931142,-48.43%
931144,-49.04%
931151,-68.28%
931152,-64.09%
931155,-55.14%
931159,-50.61%
931160,-49.42%
931165,-51.62%
931166,-62.97%
931167,-42.46%
931186,-46.18%
931187,-42.78%
931235,-25.03%
931247,-56.01%
931357,-56.16%
931373,-26.47%
931375,-35.07%
931380,-63.05%
931395,-46.19%
931402,-43.79%
931403,-50.07%
931404,-55.70%
931406,-49.57%
931409,-65.66%
931446,-15.34%
931456,-84.39%
931461,-54.21%
931468,-36.28%
931476,-44.33%
931480,-65.33%
931481,-67.28%
931484,-75.97%
931494,-55.69%
931521,-55.11%
931524,-60.92%
931526,-57.84%
931573,-73.34%
931574,-74.74%
931582,-61.31%
931587,-26.16%
931588,-26.51%
931590,-43.96%
931591,-41.39%
931637,-64.54%
931643,-60.91%
931663,-61.51%
931672,-56.85%
931719,-69.49%
931746,-61.13%
931747,-62.87%
931755,-46.01%
931775,-78.58%
931787,-71.36%
931798,-70.94%
931802,-55.40%
931829,-28.90%
931845,-92.21%
931865,-46.68%
931866,-43.56%
932000,-36.40%
932039,-22.03%
950090,-46.43%
950096,-42.47%
990001,-61.82%
H11052,-61.52%
H11136,-78.81%
H30007,-60.78%
H30015,-41.31%
H30035,-48.29%
H30089,-39.18%
H30094,-46.60%
H30178,-67.19%
H30184,-62.54%
H30199,-41.17%
H30202,-63.05%
H30217,-63.68%
H30269,-43.62%
H30455,-46.51%
H30533,-73.99%
H30588,-59.19%
H30590,-49.83%
H30597,-65.31%
H50040,-30.36%
1000002,-57.85%
1000003,-60.77%
1000004,-52.30%
1000007,-67.38%
1000008,-63.09%
1000009,-50.56%
1000012,-60.70%
1,-52.30%
9,-63.80%
10,-47.98%
15,-47.74%
16,-45.41%
18,-44.15%
21,-48.78%
28,-59.24%
29,-40.69%
36,-59.13%
37,-58.49%
42,-50.88%
43,-46.34%
44,-56.02%
46,-60.26%
48,-43.55%
52,-41.67%
56,-48.64%
63,-44.15%
66,-56.06%
68,-59.35%
69,-58.29%
92,-55.92%
151,-44.08%
171,-64.85%
300,-46.70%
510,-11.30%
